uai;uo_lib;sigle;type_d_etablissement;secteur_d_etablissement;url;coordonnees;element_wikidata;rattachement;rattachement_identifiants;dernier_decret_legifrance;localisation;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;numero_telephone_uai;siret;identifiant_eter;identifiant_freebase;statut_juridique_court;statut_juridique_long;qualification_court;qualification_long;compte_facebook;compte_twitter;compte_flickr;flux_rss;compte_linkedin;compte_pinterest;compte_france_culture;compte_scribd;compte_scoopit;compte_tumblr;compte_viadeo;compte_dailymotion;compte_vimeo;compte_youtube;compte_googleplus;autres;mooc;statut_operateur_lolf;libelle_mission_chef_de_file;identifiant_programme_lolf_chef_de_file;libelle_programme_lolf_chef_de_file;identifiants_autres_programmes_lolf;libelles_autres_programmes_lolf;association;association_identifiants
0350095N;École des hautes études en santé publique;EHESP;Grand établissement;Public;http://www.ehesp.fr/;48.1175, -1.6984;http://www.wikidata.org/entity/Q1587855;;;;Bretagne>Ille-et-Vilaine>Rennes;35238;Rennes;UU35701;Rennes;D035;Ille-et-Vilaine;A14;Rennes;R53;Bretagne;;AVENUE DU PROFESSEUR LEON BERNAR;;74312;35043;RENNES CEDEX;;0299022200;19350095600019;FR0060;http://www.freebase.com/m/0b77wtj;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/EHESP;https://twitter.com/EHESP;;http://www.ehesp.fr/feed/;;;;;;;;;;;;;;Opérateurs LOLF Hors MIRES 2014;Santé;204;Prévention, sécurité sanitaire et offre de soins;;;;
0753478Y;École nationale des Chartes;ENC;Grand établissement;Public;http://www.enc.sorbonne.fr/;48.8486, 2.34295;http://www.wikidata.org/entity/Q273570;;;;Île-de-France>Paris>Paris>Paris 5e;75105;Paris 5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;19 RUE DE LA SORBONNE;;;75005;PARIS;;0155427519;19753478700019;FR0194;http://www.freebase.com/m/02qbtjx;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/EcoleNationaleDesChartes;https://twitter.com/Ecoledeschartes;;http://www.enc.sorbonne.fr/rss.xml;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0692459Y;École nationale supérieure des sciences de l'information et des bibliothèques;ENSSIB;Grand établissement;Public;http://www.enssib.fr/;45.7803, 4.86229;http://www.wikidata.org/entity/Q2791269;;;;Rhône-Alpes>Lyon>Rhône>Villeurbanne;69266;Villeurbanne;UU00758;Lyon;D069;Rhône;A10;Lyon;R82;Rhône-Alpes;;17 BOULEVARD DU 11 NOVEMBRE 1918;;;69623;VILLEURBANNE CEDEX;;0472444343;19692459100015;FR0162;http://www.freebase.com/m/010293kl;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/enssib;https://twitter.com/enssib;;http://www.enssib.fr/s-abonner;https://www.linkedin.com/company/enssib;;;;;;http://www.viadeo.com/fr/company/enssib-ecole-nationale-superieure-des-sciences-de-l-information-et-des-bibliothe;;https://vimeo.com/enssib;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0212198A;Institut national supérieur des sciences agronomiques, de l'alimentation et de l'environnement;Agrosup Dijon;Grand établissement;Public;http://www.agrosupdijon.fr/;47.3112, 5.06552;http://www.wikidata.org/entity/Q3152459;;;;Bourgogne>Côte-d'Or>Dijon;21231;Dijon;UU21701;Dijon;D021;Côte-d'Or;A07;Dijon;R26;Bourgogne;;26 BOULEVARD DR PETITJEAN;;;21079;DIJON CEDEX;;;13000604200019;FR0020;;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/pages/AgroSup-Dijon/150348118338708;https://twitter.com/AgroSupDijon;;http://www.agrosupdijon.fr/index.php?type=100;https://www.linkedin.com/company/1367703;;;;;;http://www.viadeo.com/fr/company/agrosup-dijon;;;https://www.youtube.com/user/agrosupdijon;https://plus.google.com/110583268499100102320/videos;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles (Recherche et enseignement supérieur);;;;
0753496T;Observatoire de Paris;;Grand établissement;Public;http://www.obspm.fr/;48.837, 2.33652;http://www.wikidata.org/entity/Q461340;;;;Île-de-France>Paris>Paris>Paris 14e;75114;Paris 14e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;61 AVENUE DE L'OBSERVATOIRE;;;75014;PARIS;;0140512221;19753496900013;FR0202;http://www.freebase.com/m/029w69;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;;;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0342222F;Centre international d'études supérieures en sciences agronomiques;Montpellier Sup Agro;Grand établissement relevant d'un autre département ministériel;Public;http://www.supagro.fr/;43.6189, 3.8558;http://www.wikidata.org/entity/Q2945808;;;;Languedoc-Roussillon>Hérault>Montpellier;34172;Montpellier;UU34701;Montpellier;D034;Hérault;A11;Montpellier;R91;Languedoc-Roussillon;;2 PLACE PIERRE VIALA;;;34060;MONTPELLIER CEDEX;;0499612200;13000279300011;FR0056;http://www.freebase.com/m/073g40;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/montpellier.supagro;;;;;;;;;;http://fr.viadeo.com/fr/company/montpellier-supagro;http://www.dailymotion.com/montpelliersupagro;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles (Recherche et enseignement supérieur);;;;
0772517T;École nationale des ponts et chaussées;ENPC;Grand établissement relevant d'un autre département ministériel;Public;http://www.enpc.fr/;48.841, 2.58823;http://www.wikidata.org/entity/Q273523;;;;Île-de-France>Créteil>Seine-et-Marne>Champs-sur-Marne;77083;Champs-sur-Marne;UU00851;Paris;D077;Seine-et-Marne;A24;Créteil;R11;Île-de-France;;6 AVENUE B PASCAL CITE DESCARTE;;;77420;CHAMPS SUR MARNE;;0164153000;19753501600020;FR0224;http://www.freebase.com/m/0mctv;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/pages/%C3%89cole-des-Ponts-ParisTech/367362959990830;https://twitter.com/EcoledesPonts;;;;;;;;;;http://www.dailymotion.com/Ecole-des-Ponts-ParisTech?fbc=292#video=xqq3bi;;https://www.youtube.com/user/EcoledesPonts;;;;Opérateurs LOLF Hors MIRES 2014;Écologie, développement et aménagement durables;217;Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer;;;;
0690193K;Institut d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement;Vet Agro Sup;Grand établissement relevant d'un autre département ministériel;Public;http://www.vetagro-sup.fr/;45.8012, 5.08331;http://www.wikidata.org/entity/Q3151920;;;;Rhône-Alpes>Lyon>Rhône>Marcy-l'Étoile;69127;Marcy-l'Étoile;UU00758;Lyon;D069;Rhône;A10;Lyon;R82;Rhône-Alpes;;1 AVENUE BOURGELAT;;;69280;MARCY L ETOILE;;0478872525;;;;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/VetAgroSup?fref=ts;https://twitter.com/VetAgroSup;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles (Recherche et enseignement supérieur);;;;
0352692L;Institut supérieur des sciences agronomiques, agroalimentaires, horticoles et du paysage;Agro campus Ouest;Grand établissement relevant d'un autre département ministériel;Public;http://www.agrocampus-ouest.fr/infoglueDeliverLive/fr/agrocampus-ouest;48.113, -1.70415;http://www.wikidata.org/entity/Q3152599;;;;Bretagne>Ille-et-Vilaine>Rennes;35238;Rennes;UU35701;Rennes;D035;Ille-et-Vilaine;A14;Rennes;R53;Bretagne;;65 RUE DE ST BRIEUC;;;35042;RENNES CEDEX;;0223485000;13000512700019;FR0069;;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/Agrocampusouest;https://twitter.com/agrocampusouest;;http://www.agrocampus-ouest.fr/infoglueDeliverLive/flux-RSS;https://www.linkedin.com/groups?trk=hb_side_g&gid=4480643;;;;;;http://fr.viadeo.com/fr/groups/agrocampus_ouest;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles (Recherche et enseignement supérieur);;;;
0330192E;Institut d'études politiques de Bordeaux;IEP de Bordeaux;Institut d'étude politique;Public;http://www.sciencespobordeaux.fr/;44.7986, -0.614511;http://www.wikidata.org/entity/Q1252062;Université de Bordeaux;0333298F;http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030820446&dateTexte=&categorieLien=id;Aquitaine>Gironde>Pessac;33318;Pessac;UU33701;Bordeaux;D033;Gironde;A04;Bordeaux;R72;Aquitaine;;11 ALLÉE AUSONE DOM UNIV;;;33607;PESSAC CEDEX;;0556041772;;;http://www.freebase.com/m/0603z_;EPA;Établissement public à caractère administratif;;;;;;http://www.sciencespobordeaux.fr/fr/rssNews.rss;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0690173N;Institut d'études politiques de Lyon;IEP de Lyon;Institut d'étude politique;Public;http://www.sciencespo-lyon.fr/;45.747, 4.83577;http://www.wikidata.org/entity/Q2253344;Université Lumière - Lyon 2;0691775E;;Rhône-Alpes>Lyon>Rhône>Lyon 7e;69387;Lyon 7e;UU00758;Lyon;D069;Rhône;A10;Lyon;R82;Rhône-Alpes;;14 AVENUE BERTHELOT;;;69007;LYON;;0437283800;;;http://www.freebase.com/m/06gsrx;EPA;Établissement public à caractère administratif;;;;;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0352317D;Institut d'études politiques de Rennes;IEP de Rennes;Institut d'étude politique;Public;http://www.sciencespo-rennes.fr/;48.1213, -1.66862;http://www.wikidata.org/entity/Q3151965;Université de Rennes 1;0350936C;;Bretagne>Ille-et-Vilaine>Rennes;35238;Rennes;UU35701;Rennes;D035;Ille-et-Vilaine;A14;Rennes;R53;Bretagne;;104 BD DE LA DUCHESSE ANNE;;;35042;RENNES CEDEX;;0299843939;;;http://www.freebase.com/m/051wvz;EPA;Établissement public à caractère administratif;;;https://www.facebook.com/SciencesPoRennes;https://twitter.com/Sc_Po_Rennes;;http://www.sciencespo-rennes.fr/index.php?rawdata=1&textes=0&view=rss&cat=7749;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0133774G;École centrale de Marseille;;Instituts et écoles extérieurs aux universités;Public;http://www.centrale-marseille.fr/;43.3402, 5.43572;http://www.wikidata.org/entity/Q273454;;;http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000000427883&fastPos=1&fastReqId=899520006&oldAction=rechExpTexteJorf;Provence-Alpes-Côte d'Azur>Aix-Marseille>Bouches-du-Rhône>Marseille 13e;13213;Marseille 13e;UU00759;Marseille - Aix-en-Provence;D013;Bouches-du-Rhône;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;TECHNOPOLE DE CHATEAU GOMBERT;38 RUE JOLIOT CURIE;;;13451;MARSEILLE CEDEX 13;;0491282898;19133340000015;FR0006;http://www.freebase.com/m/026b_p5;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;;https://twitter.com/EC_Marseille;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0420093Y;École nationale d'ingénieurs de Saint-Étienne;ENISE;Instituts et écoles extérieurs aux universités;Public;http://www.enise.fr/;45.4293, 4.42257;http://www.wikidata.org/entity/Q3578093;;;;Rhône-Alpes>Lyon>Loire>Saint-Étienne;42218;Saint-Étienne;UU00753;Saint-Étienne;D042;Loire;A10;Lyon;R82;Rhône-Alpes;;58 RUE JEAN PAROT;;;42023;ST ETIENNE CEDEX 2;;0477438484;19420093700010;FR0080;http://www.freebase.com/m/0bmd70y;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;;;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0590338X;École nationale supérieure des arts et industries textiles;ENSAIT;Instituts et écoles extérieurs aux universités;Public;http://www.ensait.fr/;50.6946, 3.16932;http://www.wikidata.org/entity/Q273582;;;http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000000246728&fastPos=1&fastReqId=421881616&oldAction=rechExpTexteJorf;Nord-Pas-de-Calais>Nord>Roubaix;59512;Roubaix;UU59702;Lille;D059;Nord;A09;Lille;R31;Nord-Pas-de-Calais;;9 RUE DE L ERMITAGE;;30329;59056;ROUBAIX CEDEX 1;;0320256458;19590338000010;FR0114;http://www.freebase.com/m/051zg29;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;;https://twitter.com/ENSAITinfo;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0180974L;Institut national des sciences appliquées Centre Val de Loire;INSA CVL;Instituts et écoles extérieurs aux universités;Public;http://www.insa-centrevaldeloire.fr/;47.5846, 1.3257;http://www.wikidata.org/entity/Q15651478;;;;Centre>Loir-et-Cher>Blois;41018;Blois;UU41501;Blois;D041;Loir-et-Cher;A18;Orléans-Tours;R24;Centre;;3 RUE DE LA CHOCOLATERIE;;3410;41034;BLOIS CEDEX;;0254558477;;;;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/insacvl;https://twitter.com/insacvl;;http://drupal.ensi-bourges.fr/drupal/?q=actualites/feed;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0690192J;Institut national des sciences appliquées de Lyon;INSA Lyon;Instituts et écoles extérieurs aux universités;Public;http://www.insa-lyon.fr/;45.783, 4.87798;http://www.wikidata.org/entity/Q1633859;;;Abrogé;Rhône-Alpes>Lyon>Rhône>Villeurbanne;69266;Villeurbanne;UU00758;Lyon;D069;Rhône;A10;Lyon;R82;Rhône-Alpes;;20 AVENUE ALBERT EINSTEIN;;;69621;VILLEURBANNE CEDEX;;0472438383;19690192000013;FR0154;http://www.freebase.com/m/03sd92;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/INSAdeLyon?ref=sgm;https://twitter.com/insadelyon;;;;;;;;;;;;https://www.youtube.com/user/insadelyon;https://plus.google.com/+InsalyonFr69;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0631525R;Université Blaise Pascal;;Université;Public;http://www.univ-bpclermont.fr/;45.7757, 3.09242;http://www.wikidata.org/entity/Q612648;;;;Auvergne>Puy-de-Dôme>Clermont-Ferrand;63113;Clermont-Ferrand;UU63701;Clermont-Ferrand;D063;Puy-de-Dôme;A06;Clermont-Ferrand;R83;Auvergne;;34 AVENUE CARNOT;;185;63006;CLERMONT FERRAND CEDEX 1;;0473406363;19631525300159;FR0137;http://www.freebase.com/m/026kxhq;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/universite.blaisepascal;https://twitter.com/Univ_Clermont2;;http://videocampus.univ-bpclermont.fr/index.php?cmd=rqRSS;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0490970N;Université d'Angers;;Université;Public;http://www.univ-angers.fr/;47.478, -0.548273;http://www.wikidata.org/entity/Q1538727;;;;Pays de la Loire>Maine-et-Loire>Angers;49007;Angers;UU49701;Angers;D049;Maine-et-Loire;A17;Nantes;R52;Pays de la Loire;;40 RUE DE RENNES;;73532;49035;ANGERS CEDEX 1;;0241962323;19490970100303;FR0099;http://www.freebase.com/m/02y_66t;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/univangers;https://twitter.com/UnivAngers;http://www.flickr.com/photos/universiteangers/;http://www.univ-angers.fr/fr/index/flux-rss-1.html;;http://www.pinterest.com/univangers/;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0333298F;Université de Bordeaux;;Université;Public;http://www.u-bordeaux.fr/;44.8371, -0.578024;http://www.wikidata.org/entity/Q13344;;;;Aquitaine>Gironde>Bordeaux;33063;Bordeaux;UU33701;Bordeaux;D033;Gironde;A04;Bordeaux;R72;Aquitaine;;35 PLACE PEY BERLAND;;;33000;BORDEAUX;;;;;http://www.freebase.com/m/0b2w0v;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/univbordeaux;https://twitter.com/univbordeaux;;http://www.u-bordeaux.fr/Espace-presse/Abonnez-vous-aux-flux-RSS-de-l-universite-de-Bordeaux;;;;;;;;;;https://www.youtube.com/user/ubordeaux;;;;Non_Opérateur_LOLF_2014;;;;;;;
0211237F;Université de Bourgogne;;Université;Public;http://www.u-bourgogne.fr/;47.3248, 5.05649;http://www.wikidata.org/entity/Q287072;;;;Bourgogne>Côte-d'Or>Dijon;21231;Dijon;UU21701;Dijon;D021;Côte-d'Or;A07;Dijon;R26;Bourgogne;;;CAMPUS UNIV MONTMUZARD;27877;21078;DIJON CEDEX;;0380395000;19211237300019;FR0018;http://www.freebase.com/m/0dw67s;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/univbourgogne;https://twitter.com/univbourgogne;;http://www.u-bourgogne.fr/?q=flux+rss;;http://www.pinterest.com/univbourgogne/;;;;;http://fr.viadeo.com/fr/groups/?containerId=225n63d8xdchwe;;;http://www.youtube.com/user/UnivBourgogne;;Le réseau social de Bourgogne ( uBlink) = https://ub-link.fr/;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
